Clean_Runs,Mins,Balls_Faced,Fours,Sixes,Strike_Rate,Position,Dismissal,Inns,Opposition,Ground,Start_Date,Year
,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),31-Jul-12,2012
23.0,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,4-Aug-12,2012
0.0,9,5,0,0,0.0,3,bowled,1,v Pakistan,Chennai,30-Dec-12,2012
6.0,12,9,1,0,66.66,3,caught,2,v Pakistan,Kolkata,3-Jan-13,2013
7.0,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,6-Jan-13,2013
15.0,45,22,1,0,68.18,3,caught,2,v England,Rajkot,11-Jan-13,2013
37.0,86,54,1,1,68.51,3,caught,1,v England,Kochi,15-Jan-13,2013
,110,79,9,2,97.46,3,not out,2,v England,Ranchi,19-Jan-13,2013
26.0,44,33,3,0,78.78,3,caught,2,v England,Mohali,23-Jan-13,2013
0.0,1,1,0,0,0.0,3,caught,1,v England,Dharamsala,27-Jan-13,2013
43.0,66,34,4,1,126.47,3,caught,1,v England,Birmingham,23-Jun-13,2013
11.0,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,30-Jun-13,2013
102.0,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,5-Jul-13,2013
115.0,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,24-Jul-13,2013
14.0,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,26-Jul-13,2013
,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,28-Jul-13,2013
61.0,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,13-Oct-13,2013
,82,52,8,7,192.3,3,not out,2,v Australia,Jaipur,16-Oct-13,2013
68.0,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,19-Oct-13,2013
,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,30-Oct-13,2013
0.0,4,3,0,0,0.0,3,run out,1,v Australia,Bengaluru,2-Nov-13,2013
86.0,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,21-Nov-13,2013
99.0,159,100,9,0,99.0,3,caught,1,v West Indies,Visakhapatnam,24-Nov-13,2013
19.0,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,27-Nov-13,2013
31.0,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,5-Dec-13,2013
0.0,7,5,0,0,0.0,3,caught,2,v South Africa,Durban,8-Dec-13,2013
123.0,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,19-Jan-14,2014
78.0,88,65,7,2,120.0,3,caught,2,v New Zealand,Hamilton,22-Jan-14,2014
2.0,14,10,0,0,20.0,2,caught,1,v New Zealand,Hamilton,28-Jan-14,2014
82.0,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,31-Jan-14,2014
136.0,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,26-Feb-14,2014
0.0,1,3,0,0,0.0,3,caught,1,v England,Cardiff,27-Aug-14,2014
40.0,67,50,2,1,80.0,3,caught,2,v England,Nottingham,30-Aug-14,2014
